Event Name,Start Date/Time,End Date/Time,Event Location,Latitude,Longitude
Soccer - Non Regulation,2024-08-05T09:00:00.000,2024-08-05T15:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-04T15:00:00.000,2024-08-04T19:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-04T20:30:00.000,2024-08-04T23:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-04T18:00:00.000,2024-08-04T21:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-04T17:00:00.000,2024-08-04T19:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-04T13:00:00.000,2024-08-04T16:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-07-31T10:00:00.000,2024-07-31T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-12T10:00:00.000,2024-07-12T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Celebration,2024-08-05T12:30:00.000,2024-08-05T13:30:00.000,Bryant Park: East 42nd Street Allee,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-07-19T10:00:00.000,2024-07-19T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-26T10:00:00.000,2024-07-26T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-18T10:00:00.000,2024-07-18T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-29T10:00:00.000,2024-07-29T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-05T10:00:00.000,2024-08-05T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-13T10:00:00.000,2024-07-13T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-24T10:00:00.000,2024-07-24T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-25T10:00:00.000,2024-07-25T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Baseball - 12 and Under (Little League),2024-08-05T13:00:00.000,2024-08-05T15:30:00.000,James J Walker Park: Softball-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-17T10:00:00.000,2024-07-17T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-02T10:00:00.000,2024-08-02T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-05T18:00:00.000,2024-08-05T20:00:00.000,"Wagner Playground: Soccer-01 ,Wagner Playground: Soccer-01 ,Wagner Playground: Soccer-01",40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-07-09T10:00:00.000,2024-07-09T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-08T10:00:00.000,2024-07-08T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-05T18:00:00.000,2024-08-05T20:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-07-30T10:00:00.000,2024-07-30T20:00:00.000,"James J Walker Park: Soccer-01 ,Marx Brothers Playground: Soccer-01 ,Riverside Park: 101st St-Soccer-04 C",40.72974205,-74.00630704669005
